MIASTO,KOD_POCZTOWY,ULICA,NR_BUDYNKU
Bialystok,15-859,Poczta Bialystok 019 Bialostoczek 21,48
Bialystok,15-880,Poczta Bialystok 017 Stoleczna 25,81
Bialystok,15-900,Poczta Bialystok 002 Kolejowa 15,145
Bialystok,15-950,Skrytki Pocztowe Poczta Bialystok 001 Warszawska 10,212
Bialystok,15-951,Instytucja ZUS oddzial Bialystok Mlynowa 29,60
Bialystok,15-959,Skrytki Pocztowe Poczta Bialystok 002 Kolejowa 15,222
Bialystok,15-539,Labedzia,230
Bialystok,15-262,Ladna,131
Bialystok,15-757,Lagodna,176
Bialystok,15-107,Lancucka,164
Bialystok,15-672,Lodzinskiego Piotra,197
Bialystok,15-391,Lomzynska,37
Bialystok,15-533,Losia,228
Bialystok,15-611,Lotewska,210
Bialystok,15-373,Lukowska,1
Bialystok,15-549,Luzycka,245
Bialystok,15-259,Lodzka,107
Bialystok,15-163,Lacznikowa,138
Bialystok,15-017,Lakowa,183
Bialystok,15-671,Scianka,71
Bialystok,15-290,Sledziowa,130
Bialystok,15-714,Slusarska,244
Bialystok,15-266,Slaska,162
Bialystok,15-506,Smiala,199
Bialystok,15-698,Sniezna,133
Bialystok,15-151,Srodkowa,223
Bialystok,15-328,Swierkowa,46
Bialystok,15-108,Swislocka,106
Bialystok,15-649,Swietego Andrzeja Boboli,66
Bialystok,15-571,Swietego Jana Chrzciciela,152
Bialystok,15-199,Swietego Jozefa,17
Bialystok,15-817,Swietego Kazimierza,80
Bialystok,15-174,Swietego Maksymiliana Kolbe,244
Bialystok,15-419,Swietego Mikolaja,48
Bialystok,15-568,Swietego Proroka Eliasza,94
Bialystok,15-879,Swietego Rocha,185
Bialystok,15-202,Swietego Wojciecha,204
Bialystok,15-673,Swietej Kingi,85
Bialystok,15-082,Swietojanska,83
Bialystok,15-220,Swietojanska,17
Bialystok,15-277,Swietojanska,213
Bialystok,15-843,Swietokrzyska,128
Bialystok,15-557,Zrodlana,98
Bialystok,15-448,Zabia,155
Bialystok,15-587,Zeglarska,172
Bialystok,15-297,Zelazna,221
Bialystok,15-298,Zelazna,93
Bialystok,15-349,Zeromskiego Stefana,170
Bialystok,15-540,Zubrow,113
Bialystok,15-535,Zurawia,165
Bialystok,15-540,Zurawia,101
Bialystok,15-244,Zwirki i Wigury,89
Bialystok,15-469,Zytnia,92
Bialystok,15-417,Zolta,177
Bialystok,15-537,Zolwia,158
Augustow,16-300,Skrytki Pocztowe Poczta Augustow 001 Rynek Zygmunta Augusta 3,145
Augustow,16-301,Poczta Augustow 003 Komunalna 2,240
Augustow,16-302,Poczta Augustow 004 Partyzantow 42,17
Augustow,16-303,Skrytki Pocztowe Poczta Augustow 005 Hoza 2 a,157
Bakalarzewo,16-423,Poczta Bakalarzewo Filipowska 3,232
Barglow Koscielny,16-320,Poczta Barglow Augustowska 4,146
Choroszcz,16-070,Poczta Choroszcz Powstanie Styczniowego 26,83
Czarna Bialostocka,16-020,Poczta Czarna Bialostocka Sienkiewicza 1 C,213
Dobrzyniewo Koscielne,16-002,Poczta Dobrzyniewo Koscielne Dobrzyniewo Koscielne 38,131
Dabrowa Bialostocka,16-200,Poczta Dabrowa Bialostocka Pl. Kosciuszki 5,140
Filipow,16-424,Poczta Filipow 1 Maja 1,12
Giby,16-506,Poczta Giby,7
Grodek,16-040,Poczta Grodek Chodkiewiczow 69,76
Janow,16-130,Poczta Janow Sokolska 9,141
Jeleniewo,16-404,Poczta Jeleniewo Sloneczna 5,30
Juchnowiec Koscielny,16-061,Poczta Juchnowiec Koscielny Koscielna 1,54
Kleosin,16-001,Poczta Kleosin Ojca Tarasiuka 20 A,198
Korycin,16-140,Poczta Korycin Knyszynska 2,250
Krasnopol,16-503,Poczta Krasnopol Sienkiewicza 24,95
Krynki,16-120,Poczta Krynki Pilsudskiego 10,217
Kuznica,16-123,Poczta Kuznica Sokolska 18,185
Lipsk,16-315,Poczta Lipsk nad Biebrza Zlobikowskiego 2,121
Michalowo,16-050,Poczta Michalowo Bialostocka 3,107
Nowinka,16-304,Poczta Nowinka,131
Nowy Dwor,16-205,Poczta Nowy Dwor Pl. Rynkowy 12,229
Przerosl,16-427,Poczta Przerosl Rynek 27,36
Punsk,16-515,Poczta Punsk Szkolna 3,207
Plaska,16-326,Poczta Plaska,155
Raczki,16-420,Poczta Raczki Pl. Kosciuszki 37,106
Rutka-Tartak,16-406,Poczta Rutka-Tartak 3-go Maja 14,131
Sejny,16-500,Poczta Sejny Pilsudskiego 24,121
Sidra,16-124,Poczta Sidra Rynek 3,137
Sokolka,16-100,Skrytki Pocztowe Poczta Sokolka 001 Grodzienska 25,153
Sokolka,16-101,Poczta Sokolka 003 Osiedle Zielone 3,130
Suchowola,16-150,Poczta Suchowola Pl. Kosciuszki 27,227
Suprasl,16-030,Poczta Suprasl Cieliczanska,19
Suwalki,16-400,Skrytki Pocztowe Poczta Suwalki 001 Generala Kazimierza Pulaskiego 52,227
Suwalki,16-401,Poczta Suwalki 003 Sejnenska 13,43
Suwalki,16-402,Skrytki Pocztowe Poczta Suwalki 004 Kosciuszki 25,84
Suwalki,16-430,Skrytki Pocztowe Poczta Suwalki 005 Polnocna 27,121
Suwalki,16-431,Skrytki Pocztowe Poczta Suwalki 006 Klonowa 41A,104
Suwalki,16-432,Skrytki Pocztowe Poczta Suwalki 007 Noniewicza 10,250
Suwalki,16-433,Poczta Suwalki 008 Paca 5 G,133
Sztabin,16-310,Poczta Sztabin Augustowska 60,139
Szudzialowo,16-113,Poczta Szudzialowo Centralna 28,128
Szypliszki,16-411,Poczta Szypliszki Suwalska 25,157
Tykocin,16-080,Poczta Tykocin 11 Listopada 36,216
Wasilkow,16-010,Poczta Wasilkow Nadrzeczna 1,24
Wizajny,16-407,Poczta Wizajny Osiedle Wistuc 3/8,237
Zabludow,16-060,Poczta Zabludow Surazska 2,117
Zawady,16-075,Poczta Zawady Akacjowa 3,226
Bialowieza,17-230,Poczta Bialowieza Parkowa 2,205
Bielsk Podlaski,17-100,Skrytki Pocztowe Poczta Bielsk Podlaski 001 Mikolaja Kopernika 5,143
Bielsk Podlaski,17-101,Poczta Filia UP Bielsk Podlaski 001 Wojska Polskiego 14,120
Bielsk Podlaski,17-102,Poczta Bielsk Podlaski 004 Adama Mickiewicza 51,157
Bocki,17-111,Poczta Bocki Bielska 3,231
Bransk,17-120,Poczta Bransk Rynek 6,228
Czeremcha,17-240,Poczta Czeremcha Dluga 5,129
Czyze,17-207,Poczta Czyze Czyze 129,83
Drohiczyn,17-312,Poczta Drohiczyn Ciechanowiecka 2,80
Dubicze Cerkiewne,17-204,Poczta Dubicze Cerkiewne Glowna 1/1,233
Dziadkowice,17-306,Poczta Dziadkowice Dziadkowice 29,203
Grodzisk,17-315,Poczta Grodzisk Bielska 5,179
Hajnowka,17-200,Skrytki Pocztowe Poczta Hajnowka 001 Aleksandra Zina 4,162
Hajnowka,17-201,Poczta Hajnowka 003 Krzywa 17,207
Kleszczele,17-250,Poczta Kleszczele Pl. Parkowy 34,101
Mielnik,17-307,Poczta Mielnik Piaskowa 36 A,210
Milejczyce,17-332,Poczta Milejczyce 3 Maja 49,198
Narew,17-210,Poczta Narew Topolowa 6,225
Narewka,17-220,Poczta Narewka Mickiewicza 39,58
Nurzec-Stacja,17-330,Poczta Nurzec Stacja Zerczycka 32 A,16
Orla,17-106,Poczta Orla Mickiewicza 5,134
Perlejewo,17-322,Poczta Perlejewo Perlejewo 10 A,218
Rudka,17-123,Poczta Rudka Lakowa 1,202
Siemiatycze,17-300,Skrytki Pocztowe Poczta Siemiatycze 001 11 Listopada 2,43
Siemiatycze,17-301,Poczta Siemiatycze 004 Generala Berlinga Zygmunta 6 F,123
Wyszki,17-132,Poczta Wyszki Piorkowska 4 A,225
Ciechanowiec,18-230,Poczta Ciechanowiec Kosciuszki 25,67
Czyzew-Osada,18-220,Poczta Czyzew Maly Rynek 2,50
Grabowo,18-507,Poczta Grabowo kolo Kolna 3 Maja 10,29
Jedwabne,18-420,Poczta Jedwabne Zwirki i Wigury 3,200
Klukowo,18-214,Poczta Klukowo Szkolna 6,212
Kobylin-Borzymy,18-204,Poczta Kobylin Borzymy Glowna 14,68
Kolno,18-500,Poczta Kolno Konopnickiej 2,229
Kolaki,18-315,Poczta Kolaki Koscielna 24,241
Kulesze Koscielne,18-208,Poczta Kulesze Koscielne Glowna 6,129
Lachowo,18-505,Poczta Agencja Pocztowa Lachowo,58
Maly Plock,18-516,Poczta Maly Plock Ksiedza Ciborowskiego 38,20
Miastkowo,18-413,Poczta Miastkowo kolo Lomzy Lomzynska 19,125
Nowe Piekuty,18-212,Poczta Nowe Piekuty Glowna 23,189
Nowogrod,18-414,Poczta Nowogrod Lomzynski Zielona 7 a,115
Piatnica Poduchowna,18-421,Poczta Piatnica Poduchowna Szkolna 13,14
Poswietne,18-112,Poczta Poswietne Poswietne 40,241
Przytuly,18-423,Poczta Przytuly Nadstawna 2,77
Rutki-Kossaki,18-312,Poczta Rutki Kossaki 11 Listopada 7,193
Sokoly,18-218,Poczta Sokoly Rynek Mickiewicza 12,163
Stawiski,18-520,Poczta Stawiski Lomzynska 21,123
Suraz,18-105,Poczta Suraz 11 Listopada 19,106
Szepietowo,18-210,Poczta Szepietowo Kardynala Wyszynskiego 3 D,235
Szumowo,18-305,Poczta Szumowo 1 Maja 73,28
Turosl,18-525,Poczta Turosl,138
Turosn Koscielna,18-106,Poczta Turosn Koscielna Bialostocka 7,72
Wizna,18-430,Poczta Wizna Pl. Kapitana Raginisa 5,240
Wysokie Mazowieckie,18-200,Poczta Wysokie Mazowieckie Jagiellonska 55,8
Zambrow,18-300,Skrytki Pocztowe Poczta Zambrow 001 Kosciuszki Tadeusza 39,176
Zambrow,18-301,Skrytki Pocztowe Poczta Zambrow 003 Wojska Polskiego 37 C,56
Zbojna,18-416,Poczta Zbojna kolo Lomzy Lomzynska 21,23
Lapy,18-100,Skrytki Pocztowe Poczta Lapy 001 Generala Wladyslawa Sikorskiego 44,147
Lapy,18-101,Poczta Lapy 003 Marii Konopnickiej 8,124
Lomza,18-400,Skrytki Pocztowe Poczta Lomza 001 Pl. Pocztowy 1,186
Lomza,18-401,Skrytki Pocztowe Poczta Lomza 003 Juliusza Slowackiego 6A,198
Lomza,18-402,Skrytki Pocztowe Poczta Lomza 004 Wojska Polskiego 161,28
Lomza,18-403,Skrytki Pocztowe Poczta Lomza 005 Stanislawa Malachowskiego 1,111
Lomza,18-410,Poczta PP Lomza B126 Poznanska 148 B,189
Sniadowo,18-411,Poczta Sniadowo Rynek 22,171
Bialaszewo,19-212,Poczta Agencja Pocztowa Bialaszewo Kopernika 22,99
Goniadz,19-110,Poczta Goniadz Pl. 11 Listopada 1,20
Grajewo,19-200,Skrytki Pocztowe Poczta Grajewo 001 Jozefa Pilsudskiego 12,176
Grajewo,19-203,Skrytki Pocztowe Poczta Grajewo 004 Osiedle Poludnie 28 A,78
Jasionowka,19-122,Poczta Jasionowka Bialostocka 25,38
Jaswily,19-124,Poczta Jaswily Jaswily 20,222
Knyszyn,19-120,Poczta Knyszyn 1 Maja 10,218
Krypno Koscielne,19-111,Poczta Krypno Koscielne Krypno Koscielne 23 A,21
Monki,19-100,Poczta Monki 001 Al. Niepodleglosci 5,189
Monki,19-101,Poczta Monki 003 Wojska Polskiego 55/4,146
Radzilow,19-213,Poczta Radzilow Pl. 500 Lecia 9,41
Rajgrod,19-206,Poczta Rajgrod Zabielskiego 6,215
Szczuczyn,19-230,Poczta Szczuczyn Bialostocki Kilinskiego 61,68
Trzcianne,19-104,Poczta Trzcianne 3 Maja 48,90
Wasosz,19-222,Poczta Wasosz Grajewski 11 Listopada 29,240
Banie Mazurskie,19-520,Poczta Banie Mazurskie Konopnickiej 39,206
Dubeninki,19-504,Poczta Dubeninki Mareckiego 12,214
Elk,19-300,Skrytki Pocztowe Poczta Elk 001 Chopina 1,235
Elk,19-301,Poczta Elk 003 Jana Pawla II 3 B,249
Elk,19-302,Poczta Filia UP Elk 001 Kosciuszki 1,87
Elk,19-303,Skrytki Pocztowe Poczta Elk 005 Sikorskiego 3A,107
Elk,19-304,Skrytki Pocztowe Poczta Elk 006 Kilinskiego 40,199
Elk,19-305,Poczta Elk 007 Grota Roweckiego 1,235
Goldap,19-500,Skrytki Pocztowe Poczta Goldap 001 Krolewiecka 1,171
Goldap,19-501,Poczta Goldap 003 Armii Krajowej 34 C,26
Kalinowo,19-314,Poczta Kalinowo Mazurska 8,184
Kowale Oleckie,19-420,Poczta Kowale Oleckie,53
Olecko,19-400,Poczta Olecko 001,79
Olecko,19-401,Poczta Olecko 003,71
Olecko,19-402,Poczta Olecko 004,21
Prostki,19-335,Poczta Prostki 1 Maja 43,170
Stare Juchy,19-330,Poczta Stare Juchy Klejowa 1,144
Wieliczki,19-404,Poczta Wieliczki Tunelowo 6,134
Swietajno,19-411,Poczta Swietajno kolo Olecka,247
Lublin,20-378,11 Listopada,220
Lublin,20-410,1 Maja,243
Lublin,20-078,3 Maja,1
Lublin,20-710,Abelarda,241
Lublin,20-391,Abramowicka,151
Lublin,20-442,Abramowicka,53
Lublin,20-571,Agatowa,233
Lublin,20-140,Agrestowa,217
Lublin,20-833,Agronomiczna,54
Lublin,20-350,Akacjowa,195
Lublin,20-033,Akademicka,89
Lublin,20-715,Aksini,179
Lublin,20-054,Al. Dlugosza Jana,114
Lublin,20-249,Al. Generala Andersa Wladyslawa,96
Lublin,20-848,Al. Kompozytorow Polskich,131
Lublin,20-718,Al. Krasnicka,185
Lublin,20-536,Al. Marzen,151
Lublin,20-536,Al. Mlodosci,23
Lublin,20-809,Al. Roz,149
Lublin,20-848,Al. Smorawinskiego Mieczyslawa,90
Lublin,20-841,Al. Solidarnosci,74
Lublin,20-147,Al. Spoldzielczosci Pracy,213
Lublin,20-121,Al. Tysiaclecia,136
Lublin,20-108,Al. Unii Lubelskiej,71
Lublin,20-803,Al. Warszawska,192
Lublin,20-824,Al. Warszawska,54
Lublin,20-315,Al. Witosa Wincentego,27
Lublin,20-028,Aleje Raclawickie,105
Lublin,20-037,Aleje Raclawickie,29
Lublin,20-043,Aleje Raclawickie,52
Lublin,20-049,Aleje Raclawickie,231
Lublin,20-059,Aleje Raclawickie,94
Lublin,20-101,Aleje Zygmuntowskie,146
Lublin,20-819,Altanowa,69
Lublin,20-577,Ametystowa,224
Lublin,20-834,Araszkiewicza Feliksa,54
Lublin,20-113,Archidiakonska,20
Lublin,20-539,Armii Krajowej,199
Lublin,20-816,Arnsztajnowej Franciszki,14
Lublin,20-136,Aroniowa,181
Lublin,20-359,Asnyka Adama,73
Lublin,20-204,Azaliowa,184
Lublin,20-328,Azotowa,171
Lublin,20-460,Bagatela,122
Lublin,20-802,Bajkowa,126
Lublin,20-858,Baletowa,85
Lublin,20-601,Balladyny,33
Lublin,20-452,Bandtkich,217
Lublin,20-874,Barcickiego Jana,48
Lublin,20-739,Barszczewskiego Jozefa,33
Lublin,20-810,Bartnicza,42
Lublin,20-224,Barwinkowa,200
Lublin,20-390,Barwna,189
Lublin,20-807,Batalionow Chlopskich,64
Lublin,20-812,Batorego Stefana,60
Lublin,20-144,Bazylianowka,53
Lublin,20-802,Basniowa,138
Lublin,20-828,Bazantowa,105
Lublin,20-715,Beatrycze,44
Lublin,20-045,Beliniakow,74
Lublin,20-136,Berberysowa,56
Lublin,20-109,Bernardynska,182
Lublin,20-869,Beskidzka,136
Lublin,20-402,Betonowa,127
Lublin,20-750,Belzycka,8
Lublin,20-030,Biala,239
Lublin,20-119,Bialkowska Gora,166
Lublin,20-732,Bialostocka,137
Lublin,20-073,Bieczynskiego Feliksa,24
Lublin,20-543,Biedronki,180
Lublin,20-153,Bielskiego Konrada,116
Lublin,20-089,Biernackiego Mieczyslawa,231
Lublin,20-465,Biernata z Lublina,223
Lublin,20-722,Bieszczadzka,38
Lublin,20-492,Biskupa Fulmana Mariana,152
Lublin,20-258,Biskupie (wies),108
Lublin,20-259,Biskupie,245
Lublin,20-830,Biskupinska,174
Lublin,20-304,Bilgorajska,208
Lublin,20-224,Bluszczowa,187
Lublin,20-828,Bobrzan,146
Lublin,20-542,Bociania,183
Lublin,20-070,Boczna Lubomelskiej,110
Lublin,20-103,Boczna Rusalki,165
Lublin,20-617,Boczna Siewnej,61
Lublin,20-310,Boczna Leczynskiej,138
Lublin,20-410,Boczna Zabiej,46
Lublin,20-735,Bogdanowicza Kazimierza,128
Lublin,20-810,Bogdanowka,211
Lublin,20-358,Boguslawskiego Wojciecha,95
Lublin,20-705,Bohaterow Monte Cassino,26
Lublin,20-808,Bohaterow Monte Cassino,232
Lublin,20-611,Boleslawa Chrobrego,88
Lublin,20-611,Boleslawa Smialego,106
Lublin,20-707,Borelowskiego Marcina,174
Lublin,20-715,Boryny,25
Lublin,20-142,Borowkowa,205
Lublin,20-809,Botaniczna,42
Lublin,20-435,Boya Zelenskiego Tadeusza,113
Lublin,20-844,Braci Wieniawskich,22
Lublin,20-111,Bramowa,64
Lublin,20-440,Brata Alberta,169
Lublin,20-138,Bratkowa,38
Lublin,20-802,Bratnia,19
Lublin,20-448,Brezy Tadeusza,75
Lublin,20-457,Brodowskiego Feliksa,56
Lublin,20-448,Broniewskiego Wladyslawa,237
Lublin,20-301,Bronowicka,137
Lublin,20-087,Browarna,182
Lublin,20-579,Brylantowa,237
Lublin,20-472,Brynskiego Kazimierza,240
Lublin,20-640,Brzeskiej Magdaleny,244
Lublin,20-142,Brzoskwiniowa,236
Lublin,20-807,Brzozowskiego Mieczyslawa,171
Lublin,20-706,Brzozki Stanislawa,163
Lublin,20-469,Budowlana,131
Lublin,20-144,Budrysow,73
Lublin,20-804,Bukietowa,82
Lublin,20-353,Bukowa,58
Lublin,20-104,Bulwarowa,145
Lublin,20-150,Bursaki,164
Lublin,20-576,Bursztynowa,58
Lublin,20-828,Buzan,224
Lublin,20-723,Bydgoska,19
Lublin,20-302,Bystrzycka,86
Lublin,20-522,Bor,173
Lublin,20-259,Blawatkowa,159
Lublin,20-734,Blonskiego Tadeusza,157
Lublin,20-468,Blekitna,176
Lublin,20-142,Cedrowa,216
Lublin,20-310,Ceglana,183
Lublin,20-150,Ceramiczna,87
Lublin,20-120,Cerkiewna,108
Lublin,20-834,Chabrowa,133
Lublin,20-329,Chemiczna,243
Lublin,20-460,Chelmonskiego Jozefa,22
Lublin,20-304,Chelmska,69
Lublin,20-025,Chmielarczyka Maksymiliana,9
Lublin,20-620,Chmielewskiego Gracjana,116
Lublin,20-075,Chmielna,223
Lublin,20-079,Chmielna,171
Lublin,20-813,Chodkiewicza Jana Karola,137
Lublin,20-093,Chodzki Witolda,15
Lublin,20-835,Chodzki Witolda,97
Lublin,20-816,Choiny,250
Lublin,20-376,Cholewy Wladyslawa,74
Lublin,20-023,Chopina Fryderyka,192
Lublin,20-026,Chopina Fryderyka,221
Lublin,20-839,Checinskiego Jana,62
Lublin,20-411,Chlodna,51
Lublin,20-088,Ciasna,178
Lublin,20-078,Cicha,134
Lublin,20-522,Cienista,3
Lublin,20-834,Ciepielewskiego Jana,163
Lublin,20-403,Ciepla,89
Lublin,20-479,Cieplownicza,90
Lublin,20-733,Cieszkowskiego Kajetana,136
Lublin,20-703,Cisowa,64
Lublin,20-714,Cyda,93
Lublin,20-224,Cyprysowa,105
Lublin,20-122,Cyrulicza,33
Lublin,20-865,Czapskiego Jozefa,77
Lublin,20-735,Czarkowskiego Wladyslawa,32
Lublin,20-820,Czarnieckiego Stefana,86
Lublin,20-457,Czartoryskiej Izabeli,193
Lublin,20-072,Czechowska,91
Lublin,20-488,Czekanowskiego Aleksandra,7
Lublin,20-807,Czeremchowa,243
Lublin,20-349,Czeresniowa,94
Lublin,20-302,Czerniejowska,191
Lublin,20-424,Czeska,189
Lublin,20-036,Czwartakow,231
Lublin,20-045,Czwartakow,49
Lublin,20-124,Czwartek,6
Lublin,20-073,Czysta,202
Lublin,20-457,Danilowskiego Gustawa,239
Lublin,20-250,Daszynskiego Ignacego,76
Lublin,20-073,De Tramecourta Jerzego,95
Lublin,20-130,Dembowskiego Edwarda,111
Lublin,20-226,Dereniowa,85
Lublin,20-832,Deszczowa,12
Lublin,20-447,Diamentowa,80
Lublin,20-471,Diamentowa,208
Lublin,20-714,Ditty,200
Lublin,20-375,Dmowskiego Romana,59
Lublin,20-149,Do Dysa,163
Lublin,20-350,Dobra,156
Lublin,20-262,Dobrzanskiego Bohdana,179
Lublin,20-259,Dojazdowa,29
Lublin,20-128,Dolinskiego Gustawa,245
Lublin,20-079,Dolna 3 Maja,149
Lublin,20-010,Dolna Panny Marii,50
Lublin,20-488,Domeyki Ignacego,154
Lublin,20-111,Dominikanska,122
Lublin,20-386,Dominowska,96
Lublin,20-388,Dominow (wies),152
Lublin,20-280,Doswiadczalna,69
Lublin,20-152,Dozynkowa,215
Lublin,20-223,Dozynkowa,167
Lublin,20-554,Dragonow,37
Lublin,20-305,Drewniana,35
Lublin,20-319,Droga Meczennikow Majdanka,19
Lublin,20-325,Droga Meczennikow Majdanka,198
Lublin,20-334,Droga Meczennikow Majdanka,2
Lublin,20-150,Drukarska,45
Lublin,20-737,Dubieckiego Mariana,28
Lublin,20-061,Dubois Stanislawa,9
Lublin,20-815,Dudzinskiego Juliusza,21
Lublin,20-326,Duleby Kazimierza,128
Lublin,20-357,Duleby Kazimierza,197
Lublin,20-425,Dunikowskiego Xawerego,248
Lublin,20-813,Dwernickiego Jozefa,108
Lublin,20-406,Dworcowa,4
Lublin,20-135,Dworska,63
Lublin,20-453,Dygasinskiego Adolfa,83
Lublin,20-144,Dymowskiego Tadeusza,61
Lublin,20-810,Dzbenin,76
Lublin,20-121,Dzialkowa,42
Lublin,20-811,Dzieci Zamojszczyzny,149
Lublin,20-404,Dzierzawna,161
Lublin,20-456,Dziesiata,18
Lublin,20-539,Dziewanny,108
Lublin,20-233,Dziubinskiej Heleny,153
Lublin,20-252,Dziubinskiej Heleny,210
Lublin,20-829,Dabrowicka,78
Lublin,20-416,Dabrowska,5
Lublin,20-830,Dabrowki,19
Lublin,20-221,Debowa,132
Lublin,20-149,Dlotlice,32
Lublin,20-346,Dluga,23
Lublin,20-365,Dluga,99
Lublin,20-258,Dlugie (wies),230
Lublin,20-349,Elektryczna,207
Lublin,20-854,Elsnera Jozefa,225
Lublin,20-636,Emancypantek,27
Lublin,20-468,Energetykow,101
Lublin,20-075,Ewangelicka,84
Lublin,20-301,Fabryczna,98
Lublin,20-531,Fantastyczna,51
Lublin,20-635,Faraona,31
Lublin,20-107,Farbiarska,18
Lublin,20-706,Farmaceutyczna,145
Lublin,20-133,Falata Juliana,53
Lublin,20-278,Felin,19
Lublin,20-609,Filaretow,76
Lublin,20-710,Filona,57
Lublin,20-834,Fiolkowa,106
Lublin,20-306,Firlejowska,60
Lublin,20-118,Florianska,127
Lublin,20-751,Folwarczna,43
Lublin,20-225,Forsycjowa,139
Lublin,20-802,Fortunna,199
Lublin,20-736,Frankowskiego Leona,88
Lublin,20-453,Fredry Aleksandra,210
Lublin,20-122,Furmanska,118
Lublin,20-827,Gajowa,155
Lublin,20-340,Garbarska,24
Lublin,20-073,Gawareckich,173
Lublin,20-406,Gazowa,205
Lublin,20-455,Galczynskiego Konstantego Ildefonsa,224
Lublin,20-732,Gdanska,81
Lublin,20-045,Generala Bema Jozefa,193
Lublin,20-442,Gierymskiego Aleksandra,131
Lublin,20-335,Gilowa,66
Lublin,20-614,Gliniana,149
Lublin,20-616,Gliniana,122
Lublin,20-457,Glinskiego Kazimierza,182
Lublin,20-010,Gminna,206
Lublin,20-830,Gnieznienska,23
Lublin,20-045,Godebskiego Cypriana,189
Lublin,20-827,Gojawiczynskiej Poli,121
Lublin,20-828,Goplan,105
Lublin,20-868,Gorczanska,161
Lublin,20-211,Gospodarcza,106
Lublin,20-213,Gospodarcza,17
Lublin,20-217,Gospodarcza,57
Lublin,20-532,Goscinna,50
Lublin,20-221,Gozdzikowa,231
Lublin,20-703,Grabowa,60
Lublin,20-381,Grabowskiego Franciszka,8
Lublin,20-330,Grabskiego Wladyslawa,108
Lublin,20-215,Graffa Emanuela,45
Lublin,20-457,Gralewskiego Waclawa,60
Lublin,20-010,Graniczna,49
Lublin,20-602,Grazyny,37
Lublin,20-605,Grazyny,75
Lublin,20-331,Grenadierow,244
Lublin,20-362,Grochowskiego Alojzego,69
Lublin,20-256,Grodzickiego Tadeusza,152
Lublin,20-112,Grodzka,220
Lublin,20-029,Grottgera Artura,143
Lublin,20-111,Gruella Teodora,33
Lublin,20-378,Grunwaldzka,82
Lublin,20-260,Grygowej Antoniny,61
Lublin,20-522,Grzybowa,216
Lublin,20-714,Guliwera,178
Lublin,20-005,Gorna,151
Lublin,20-863,Gorska,220
Lublin,20-719,Gesia,178
Lublin,20-806,Glogowa,51
Lublin,20-060,Glowackiego Bartosza,182
Lublin,20-380,Gluska,198
Lublin,20-385,Gluska,212
Lublin,20-439,Gluska,115
Lublin,20-388,Gluszczyzna (wies),91
Lublin,20-829,Glowna,150
Lublin,20-612,Gleboka,146
Lublin,20-231,Hajdowska,124
Lublin,20-874,Halickiego Henryka,70
Lublin,20-376,Hallera Jozefa,86
Lublin,20-711,Hamleta,58
Lublin,20-387,Handlowa,59
Lublin,20-805,Harcerska,176
Lublin,20-857,Harnasi,90
Lublin,20-737,Hauke Bosaka Jozefa,9
Lublin,20-712,Heloizy,213
Lublin,20-008,Hempla Jana,117
Lublin,20-551,Herbowa,31
Lublin,20-328,Herc Lucyny,69
Lublin,20-553,Hetmanska,168
Lublin,20-143,Hiacyntowa,229
Lublin,20-027,Hipoteczna,106
Lublin,20-092,Hirszfelda Ludwika,93
Lublin,20-303,Hrubieszowska,200
Lublin,20-610,Hryniewieckiego Kajetana,133
Lublin,20-373,Hubalczykow,50
Lublin,20-555,Husarska,81
Lublin,20-218,Hutnicza,94
Lublin,20-078,I Armii Wojska Polskiego,222
Lublin,20-815,Iglatowskiego Jana,137
Lublin,20-990,Instytucja Przedstawicielstwo Operacyjne CUP,227
Lublin,20-484,Inzynierska,47
Lublin,20-624,Irydiona,37
Lublin,20-834,Irysowa,98
Lublin,20-448,Iwaszkiewicza Jaroslawa,5
Lublin,20-868,Izerska,40
Lublin,20-710,Izoldy,100
Lublin,20-826,Jabloniowa,145
Lublin,20-456,Jachowicza Stanislawa,183
Lublin,20-783,Jacyny Onyszkiewicza Tadeusza,147
Lublin,20-090,Jaczewskiego Kazimierza,167
Lublin,20-806,Jagiellonska,134
Lublin,20-141,Jagodowa,126
Lublin,20-258,Jakubowice Murowane (wies),17
Lublin,20-228,Jakubowicka,145
Lublin,20-535,Jana Pawla II,226
Lublin,20-734,Jankowskiego Jozefa,215
Lublin,20-509,Janowska,104
Lublin,20-254,Jarmarczna,43
Lublin,20-141,Jarzebinowa,197
Lublin,20-807,Jasinskiego Jakuba,193
Lublin,20-330,Jaskolcza,212
Lublin,20-077,Jasna,32
Lublin,20-442,Jastruna Mieczyslawa,26
Lublin,20-323,Jastrzebia,226
Lublin,20-140,Jaworowa,156
Lublin,20-612,Jaworowskiego Aleksandra,124
Lublin,20-834,Jaworskiego Kazimierza Andrzeja,58
Lublin,20-786,Jawlowskiego Hieronima,135
Lublin,20-222,Jalowcowa,28
Lublin,20-811,Jasminowa,219
Lublin,20-827,Jemiolowa,96
Lublin,20-337,Jesienna,192
Lublin,20-351,Jesionowa,89
Lublin,20-439,Jezierskiego Franciszka Salezego,172
Lublin,20-735,Jezioranskiego Antoniego,74
Lublin,20-113,Jezuicka,98
Lublin,20-226,Jezynowa,101
Lublin,20-825,Jodlowa,34
Lublin,20-716,Judyma,175
Lublin,20-710,Julii,246
Lublin,20-704,Juliusza Cezara,198
